"","number","infected_s","infected_e","day","infected_from","rate","day_infected","days_infected"
"1",1,1,1,1,"",2,"",1
"2",2,0,0,1,"",0.0072,"",0
"3",3,0,0,1,"",2,"",0
"4",4,0,0,1,"",0.0072,"",0
"5",5,0,0,1,"",0.0072,"",0
"6",6,0,0,1,"",0.0072,"",0
"7",7,0,0,1,"",0.0072,"",0
"8",8,0,0,1,"",0.0072,"",0
"9",9,0,0,1,"",0.0072,"",0
"10",10,0,0,1,"",2,"",0
"11",11,0,0,1,"",2,"",0
"12",12,0,0,1,"",2,"",0
"13",13,0,1,1,"1",2,"1",0
"14",14,0,0,1,"",2,"",0
"15",15,0,0,1,"",2,"",0
"16",16,0,0,1,"",0.0072,"",0
"17",17,0,0,1,"",2,"",0
"18",18,0,0,1,"",2,"",0
"19",19,0,0,1,"",0.0072,"",0
"20",20,0,0,1,"",0.0072,"",0
"21",21,0,0,1,"",0.0072,"",0
"22",22,0,0,1,"",0.0072,"",0
"23",23,0,0,1,"",2,"",0
"24",24,0,0,1,"",2,"",0
"25",25,0,0,1,"",2,"",0
"26",26,0,0,1,"",2,"",0
"27",27,0,0,1,"",2,"",0
"28",28,0,0,1,"",2,"",0
"29",29,0,0,1,"",0.0072,"",0
"30",30,0,0,1,"",2,"",0
"31",31,0,0,1,"",0.0072,"",0
"32",1,1,1,2,"",2,"",2
"33",2,0,0,2,"",0.0072,"",0
"34",3,0,0,2,"",2,"",0
"35",4,0,0,2,"",0.0072,"",0
"36",5,0,0,2,"",0.0072,"",0
"37",6,0,0,2,"",0.0072,"",0
"38",7,0,0,2,"",0.0072,"",0
"39",8,0,0,2,"",0.0072,"",0
"40",9,0,0,2,"",0.0072,"",0
"41",10,0,0,2,"",2,"",0
"42",11,0,0,2,"",2,"",0
"43",12,0,0,2,"",2,"",0
"44",13,1,1,2,"1",2,"1",1
"45",14,0,0,2,"",2,"",0
"46",15,0,0,2,"",2,"",0
"47",16,0,0,2,"",0.0072,"",0
"48",17,0,0,2,"",2,"",0
"49",18,0,0,2,"",2,"",0
"50",19,0,0,2,"",0.0072,"",0
"51",20,0,0,2,"",0.0072,"",0
"52",21,0,0,2,"",0.0072,"",0
"53",22,0,0,2,"",0.0072,"",0
"54",23,0,0,2,"",2,"",0
"55",24,0,0,2,"",2,"",0
"56",25,0,0,2,"",2,"",0
"57",26,0,0,2,"",2,"",0
"58",27,0,0,2,"",2,"",0
"59",28,0,0,2,"",2,"",0
"60",29,0,0,2,"",0.0072,"",0
"61",30,0,0,2,"",2,"",0
"62",31,0,0,2,"",0.0072,"",0
"63",1,1,1,3,"",2,"",3
"64",2,0,0,3,"",0.0072,"",0
"65",3,0,0,3,"",2,"",0
"66",4,0,0,3,"",0.0072,"",0
"67",5,0,0,3,"",0.0072,"",0
"68",6,0,0,3,"",0.0072,"",0
"69",7,0,0,3,"",0.0072,"",0
"70",8,0,0,3,"",0.0072,"",0
"71",9,0,0,3,"",0.0072,"",0
"72",10,0,0,3,"",2,"",0
"73",11,0,0,3,"",2,"",0
"74",12,0,0,3,"",2,"",0
"75",13,1,1,3,"1",2,"1",2
"76",14,0,0,3,"",2,"",0
"77",15,0,0,3,"",2,"",0
"78",16,0,0,3,"",0.0072,"",0
"79",17,0,0,3,"",2,"",0
"80",18,0,0,3,"",2,"",0
"81",19,0,0,3,"",0.0072,"",0
"82",20,0,0,3,"",0.0072,"",0
"83",21,0,0,3,"",0.0072,"",0
"84",22,0,0,3,"",0.0072,"",0
"85",23,0,0,3,"",2,"",0
"86",24,0,0,3,"",2,"",0
"87",25,0,0,3,"",2,"",0
"88",26,0,0,3,"",2,"",0
"89",27,0,1,3,"13",2,"3",0
"90",28,0,0,3,"",2,"",0
"91",29,0,0,3,"",0.0072,"",0
"92",30,0,0,3,"",2,"",0
